read_chrom	mate_chrom	chromchrom	strand	properpair	failsqc	suppl	dupl	primary	Count
chr1	chr10	chr1/chr10	.	.	.	OK	OK	SECONDARY	4457
chr1	chr22	chr1/chr22	.	.	.	OK	OK	PRIMARY	3266
chr1	chr20	chr1/chr20	.	.	.	OK	OK	SECONDARY	2254
chr1	chr13	chr1/chr13	.	.	.	OK	OK	SECONDARY	2956
chr1	chr14	chr1/chr14	.	.	.	OK	OK	SECONDARY	3056
chr1	GL000220.1	GL000220.1/chr1	.	.	.	OK	OK	PRIMARY	1815
chr1	chrMT	chr1/chrMT	.	.	.	OK	OK	SECONDARY	21
chr1	chrMT	chr1/chrMT	.	.	.	OK	OK	PRIMARY	76
chr1	GL000226.1	GL000226.1/chr1	.	.	.	OK	OK	SECONDARY	12
chr1	GL000226.1	GL000226.1/chr1	.	.	.	OK	OK	PRIMARY	165
chr1	chrY	chr1/chrY	.	.	.	OK	OK	PRIMARY	1165
chr1	GL000216.1	GL000216.1/chr1	.	.	.	OK	OK	PRIMARY	78
chr1	chrY	chr1/chrY	.	.	.	OK	OK	SECONDARY	244
chr1	GL000216.1	GL000216.1/chr1	.	.	.	OK	OK	SECONDARY	41
chr1	GL000225.1	GL000225.1/chr1	.	.	.	OK	OK	SECONDARY	9
chr1	GL000225.1	GL000225.1/chr1	.	.	.	OK	OK	PRIMARY	32
chr1	GL000234.1	GL000234.1/chr1	.	.	.	OK	OK	PRIMARY	29
chr1	GL000232.1	GL000232.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000209.1	GL000209.1/chr1	.	.	.	OK	OK	PRIMARY	3
chr1	GL000221.1	GL000221.1/chr1	.	.	.	OK	OK	PRIMARY	159
chr1	GL000222.1	GL000222.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000214.1	GL000214.1/chr1	.	.	.	OK	OK	SECONDARY	35
chr1	GL000214.1	GL000214.1/chr1	.	.	.	OK	OK	PRIMARY	221
chr1	GL000194.1	GL000194.1/chr1	.	.	.	OK	OK	SECONDARY	14
chr1	GL000219.1	GL000219.1/chr1	.	.	.	OK	OK	PRIMARY	35
chr1	GL000204.1	GL000204.1/chr1	.	.	.	OK	OK	PRIMARY	12
chr1	GL000211.1	GL000211.1/chr1	.	.	.	OK	OK	PRIMARY	13
chr1	GL000195.1	GL000195.1/chr1	.	.	.	OK	OK	SECONDARY	40
chr1	GL000192.1	GL000192.1/chr1	.	.	.	OK	OK	SECONDARY	38
chr1	GL000219.1	GL000219.1/chr1	.	.	.	OK	OK	SECONDARY	9
chr1	GL000195.1	GL000195.1/chr1	.	.	.	OK	OK	PRIMARY	27
chr1	GL000232.1	GL000232.1/chr1	.	.	.	OK	OK	PRIMARY	26
chr1	GL000212.1	GL000212.1/chr1	.	.	.	OK	OK	SECONDARY	21
chr1	GL000217.1	GL000217.1/chr1	.	.	.	OK	OK	PRIMARY	23
chr1	GL000224.1	GL000224.1/chr1	.	.	.	OK	OK	PRIMARY	114
chr1	GL000237.1	GL000237.1/chr1	.	.	.	OK	OK	PRIMARY	12
chr1	GL000194.1	GL000194.1/chr1	.	.	.	OK	OK	PRIMARY	74
chr1	GL000199.1	GL000199.1/chr1	.	.	.	OK	OK	PRIMARY	74
chr1	GL000192.1	GL000192.1/chr1	.	.	.	OK	OK	PRIMARY	193
chr1	GL000193.1	GL000193.1/chr1	.	.	.	OK	OK	PRIMARY	33
chr1	GL000221.1	GL000221.1/chr1	.	.	.	OK	OK	SECONDARY	20
chr1	GL000205.1	GL000205.1/chr1	.	.	.	OK	OK	SECONDARY	19
chr1	GL000191.1	GL000191.1/chr1	.	.	.	OK	OK	PRIMARY	45
chr1	GL000229.1	GL000229.1/chr1	.	.	.	OK	OK	SECONDARY	4
chr1	GL000239.1	GL000239.1/chr1	.	.	.	OK	OK	SECONDARY	13
chr1	GL000215.1	GL000215.1/chr1	.	.	.	OK	OK	SECONDARY	2
chr1	GL000191.1	GL000191.1/chr1	.	.	.	OK	OK	SECONDARY	7
chr1	NC_007605	NC_007605/chr1	.	.	.	OK	OK	PRIMARY	4
chr1	GL000218.1	GL000218.1/chr1	.	.	.	OK	OK	PRIMARY	74
chr1	GL000223.1	GL000223.1/chr1	.	.	.	OK	OK	PRIMARY	16
chr1	GL000239.1	GL000239.1/chr1	.	.	.	OK	OK	PRIMARY	14
chr1	GL000208.1	GL000208.1/chr1	.	.	.	OK	OK	PRIMARY	31
chr1	GL000212.1	GL000212.1/chr1	.	.	.	OK	OK	PRIMARY	45
chr1	GL000208.1	GL000208.1/chr1	.	.	.	OK	OK	SECONDARY	2
chr1	GL000231.1	GL000231.1/chr1	.	.	.	OK	OK	PRIMARY	3
chr1	GL000234.1	GL000234.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000211.1	GL000211.1/chr1	.	.	.	OK	OK	SECONDARY	6
chr1	GL000235.1	GL000235.1/chr1	.	.	.	OK	OK	PRIMARY	17
chr1	GL000205.1	GL000205.1/chr1	.	.	.	OK	OK	PRIMARY	22
chr1	GL000200.1	GL000200.1/chr1	.	.	.	OK	OK	PRIMARY	7
chr1	GL000228.1	GL000228.1/chr1	.	.	.	OK	OK	PRIMARY	8
chr1	GL000213.1	GL000213.1/chr1	.	.	.	OK	OK	PRIMARY	5
chr1	GL000217.1	GL000217.1/chr1	.	.	.	OK	OK	SECONDARY	8
chr1	GL000241.1	GL000241.1/chr1	.	.	.	OK	OK	PRIMARY	12
chr1	GL000236.1	GL000236.1/chr1	.	.	.	OK	OK	PRIMARY	5
chr1	GL000246.1	GL000246.1/chr1	.	.	.	OK	OK	PRIMARY	1
chr1	GL000198.1	GL000198.1/chr1	.	.	.	OK	OK	PRIMARY	5
chr1	GL000210.1	GL000210.1/chr1	.	.	.	OK	OK	SECONDARY	2
chr1	GL000210.1	GL000210.1/chr1	.	.	.	OK	OK	PRIMARY	3
chr1	GL000233.1	GL000233.1/chr1	.	.	.	OK	OK	PRIMARY	10
chr1	GL000197.1	GL000197.1/chr1	.	.	.	OK	OK	PRIMARY	1
chr1	GL000241.1	GL000241.1/chr1	.	.	.	OK	OK	SECONDARY	7
chr1	GL000222.1	GL000222.1/chr1	.	.	.	OK	OK	PRIMARY	4
chr1	GL000200.1	GL000200.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000215.1	GL000215.1/chr1	.	.	.	OK	OK	PRIMARY	5
chr1	GL000229.1	GL000229.1/chr1	.	.	.	OK	OK	PRIMARY	4
chr1	GL000247.1	GL000247.1/chr1	.	.	.	OK	OK	PRIMARY	12
chr1	GL000242.1	GL000242.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000202.1	GL000202.1/chr1	.	.	.	OK	OK	PRIMARY	3
chr1	GL000248.1	GL000248.1/chr1	.	.	.	OK	OK	PRIMARY	2
chr1	GL000230.1	GL000230.1/chr1	.	.	.	OK	OK	PRIMARY	1
chr1	GL000204.1	GL000204.1/chr1	.	.	.	OK	OK	SECONDARY	4
chr1	GL000199.1	GL000199.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000196.1	GL000196.1/chr1	.	.	.	OK	OK	PRIMARY	2
chr1	GL000244.1	GL000244.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000213.1	GL000213.1/chr1	.	.	.	OK	OK	SECONDARY	4
chr1	GL000218.1	GL000218.1/chr1	.	.	.	OK	OK	SECONDARY	7
chr1	GL000245.1	GL000245.1/chr1	.	.	.	OK	OK	PRIMARY	13
chr1	GL000240.1	GL000240.1/chr1	.	.	.	OK	OK	SECONDARY	4
chr1	GL000243.1	GL000243.1/chr1	.	.	.	OK	OK	PRIMARY	13
chr1	GL000243.1	GL000243.1/chr1	.	.	.	OK	OK	SECONDARY	8
chr1	GL000233.1	GL000233.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000240.1	GL000240.1/chr1	.	.	.	OK	OK	PRIMARY	22
chr1	GL000247.1	GL000247.1/chr1	.	.	.	OK	OK	SECONDARY	5
chr1	GL000245.1	GL000245.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000236.1	GL000236.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000193.1	GL000193.1/chr1	.	.	.	OK	OK	SECONDARY	3
chr1	GL000244.1	GL000244.1/chr1	.	.	.	OK	OK	PRIMARY	1
chr1	GL000203.1	GL000203.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000206.1	GL000206.1/chr1	.	.	.	OK	OK	PRIMARY	2
chr1	GL000230.1	GL000230.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000238.1	GL000238.1/chr1	.	.	.	OK	OK	PRIMARY	2
chr1	GL000238.1	GL000238.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000228.1	GL000228.1/chr1	.	.	.	OK	OK	SECONDARY	6
chr1	GL000202.1	GL000202.1/chr1	.	.	.	OK	OK	SECONDARY	2
chr1	GL000235.1	GL000235.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000198.1	GL000198.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr1	GL000201.1	GL000201.1/chr1	.	.	.	OK	OK	SECONDARY	1
chr2	chr10	chr10/chr2	.	.	.	OK	OK	PRIMARY	24410
chr2	chr16	chr16/chr2	.	.	.	OK	OK	SECONDARY	13253
chr2	chr19	chr19/chr2	.	.	.	OK	OK	SECONDARY	15432
chr2	chr9	chr2/chr9	.	.	.	OK	OK	SECONDARY	13726
chr2	chr19	chr19/chr2	.	.	.	OK	OK	PRIMARY	19816
chr2	chr18	chr18/chr2	.	.	.	OK	OK	SECONDARY	6944
chr2	chr2	=	+-	PROPERPAIR	.	OK	OK	PRIMARY	66610384
chr2	chr13	chr13/chr2	.	.	.	OK	OK	SECONDARY	8214
chr2	.	.	.	.	.	OK	OK	SECONDARY	2981
chr2	chr18	chr18/chr2	.	.	.	OK	OK	PRIMARY	12027
chr2	chr7	chr2/chr7	.	.	.	OK	OK	SECONDARY	18468
chr2	chr3	chr2/chr3	.	.	.	OK	OK	SECONDARY	15991
chr2	chr1	chr1/chr2	.	.	.	OK	OK	PRIMARY	41498
chr2	chr6	chr2/chr6	.	.	.	OK	OK	SECONDARY	14560
chr2	GL000220.1	GL000220.1/chr2	.	.	.	OK	OK	SECONDARY	18823
chr2	chr13	chr13/chr2	.	.	.	OK	OK	PRIMARY	15161
chr2	chr1	chr1/chr2	.	.	.	OK	OK	SECONDARY	24854
chr2	hs37d5	chr2/hs37d5	.	.	.	OK	OK	SECONDARY	19061
chr2	chr12	chr12/chr2	.	.	.	OK	OK	PRIMARY	23587
chr2	chr2	=	++	.	.	OK	OK	PRIMARY	8602
chr2	chr2	=	--	.	.	OK	OK	PRIMARY	37592
chr2	chrX	chr2/chrX	.	.	.	OK	OK	SECONDARY	15327
chr2	chr4	chr2/chr4	.	.	.	OK	OK	PRIMARY	30570
chr2	chr2	=	+-	PROPERPAIR	.	OK	OK	SECONDARY	19998
chr2	chr5	chr2/chr5	.	.	.	OK	OK	PRIMARY	26986
chr2	chr5	chr2/chr5	.	.	.	OK	OK	SECONDARY	15644
chr2	chr12	chr12/chr2	.	.	.	OK	OK	SECONDARY	14126
chr2	chr2	=	++	.	.	OK	OK	SECONDARY	4076
chr2	chr2	=	--	.	.	OK	OK	SECONDARY	11575
chr2	chr2	=	+-	NO	.	OK	OK	SECONDARY	28161
chr2	chrX	chr2/chrX	.	.	.	OK	OK	PRIMARY	25806
chr2	chr10	chr10/chr2	.	.	.	OK	OK	SECONDARY	14729
chr2	chr11	chr11/chr2	.	.	.	OK	OK	SECONDARY	14001
chr2	chr4	chr2/chr4	.	.	.	OK	OK	SECONDARY	16450
chr2	chr17	chr17/chr2	.	.	.	OK	OK	SECONDARY	12034
chr2	chr17	chr17/chr2	.	.	.	OK	OK	PRIMARY	18851
chr2	hs37d5	chr2/hs37d5	.	.	.	OK	OK	PRIMARY	43119
chr2	chr21	chr2/chr21	.	.	.	OK	OK	SECONDARY	5046
chr2	chr2	=	+-	NO	.	OK	OK	PRIMARY	66450
.	chr2	.	.	.	.	.	.	.	132861
chr2	.	.	.	.	.	OK	OK	PRIMARY	84247
chr2	chr7	chr2/chr7	.	.	.	OK	OK	PRIMARY	29897
chr2	chr20	chr2/chr20	.	.	.	OK	OK	PRIMARY	15071
chr2	chr6	chr2/chr6	.	.	.	OK	OK	PRIMARY	26057
chr2	chr16	chr16/chr2	.	.	.	OK	OK	PRIMARY	21806
chr2	chr8	chr2/chr8	.	.	.	OK	OK	PRIMARY	23444
chr2	chr3	chr2/chr3	.	.	.	OK	OK	PRIMARY	27894
chr2	chr14	chr14/chr2	.	.	.	OK	OK	PRIMARY	16729
chr2	chr15	chr15/chr2	.	.	.	OK	OK	PRIMARY	14678
chr2	chr9	chr2/chr9	.	.	.	OK	OK	PRIMARY	22740
chr2	chr21	chr2/chr21	.	.	.	OK	OK	PRIMARY	8783
chr2	chr8	chr2/chr8	.	.	.	OK	OK	SECONDARY	13857
chr2	GL000220.1	GL000220.1/chr2	.	.	.	OK	OK	PRIMARY	15026
chr2	chr11	chr11/chr2	.	.	.	OK	OK	PRIMARY	22646
chr2	chr15	chr15/chr2	.	.	.	OK	OK	SECONDARY	8778
chr2	chrY	chr2/chrY	.	.	.	OK	OK	PRIMARY	974
chr2	GL000192.1	GL000192.1/chr2	.	.	.	OK	OK	PRIMARY	76
chr2	chr14	chr14/chr2	.	.	.	OK	OK	SECONDARY	9414
chr2	chr20	chr2/chr20	.	.	.	OK	OK	SECONDARY	8432
chr2	chr22	chr2/chr22	.	.	.	OK	OK	PRIMARY	9578
chr2	GL000222.1	GL000222.1/chr2	.	.	.	OK	OK	PRIMARY	14
chr2	chr22	chr2/chr22	.	.	.	OK	OK	SECONDARY	6602
chr2	GL000214.1	GL000214.1/chr2	.	.	.	OK	OK	PRIMARY	87
chr2	GL000238.1	GL000238.1/chr2	.	.	.	OK	OK	PRIMARY	2
chr2	GL000194.1	GL000194.1/chr2	.	.	.	OK	OK	PRIMARY	69
chr2	GL000205.1	GL000205.1/chr2	.	.	.	OK	OK	PRIMARY	43
chr2	GL000226.1	GL000226.1/chr2	.	.	.	OK	OK	PRIMARY	274
chr2	chrY	chr2/chrY	.	.	.	OK	OK	SECONDARY	314
chr2	GL000241.1	GL000241.1/chr2	.	.	.	OK	OK	SECONDARY	17
chr2	GL000237.1	GL000237.1/chr2	.	.	.	OK	OK	SECONDARY	38
chr2	GL000221.1	GL000221.1/chr2	.	.	.	OK	OK	PRIMARY	34
chr2	GL000195.1	GL000195.1/chr2	.	.	.	OK	OK	PRIMARY	66
chr2	GL000215.1	GL000215.1/chr2	.	.	.	OK	OK	PRIMARY	7
chr2	GL000191.1	GL000191.1/chr2	.	.	.	OK	OK	PRIMARY	41
chr2	GL000232.1	GL000232.1/chr2	.	.	.	OK	OK	SECONDARY	4
chr2	GL000199.1	GL000199.1/chr2	.	.	.	OK	OK	PRIMARY	115
chr2	GL000239.1	GL000239.1/chr2	.	.	.	OK	OK	SECONDARY	39
chr2	GL000218.1	GL000218.1/chr2	.	.	.	OK	OK	PRIMARY	44
chr2	chrMT	chr2/chrMT	.	.	.	OK	OK	PRIMARY	140
chr2	GL000200.1	GL000200.1/chr2	.	.	.	OK	OK	PRIMARY	24
chr2	GL000219.1	GL000219.1/chr2	.	.	.	OK	OK	SECONDARY	22
chr2	GL000216.1	GL000216.1/chr2	.	.	.	OK	OK	PRIMARY	83
chr2	GL000195.1	GL000195.1/chr2	.	.	.	OK	OK	SECONDARY	62
chr2	GL000234.1	GL000234.1/chr2	.	.	.	OK	OK	PRIMARY	10
chr2	GL000224.1	GL000224.1/chr2	.	.	.	OK	OK	PRIMARY	81
chr2	GL000224.1	GL000224.1/chr2	.	.	.	OK	OK	SECONDARY	35
chr2	GL000230.1	GL000230.1/chr2	.	.	.	OK	OK	PRIMARY	3
chr2	GL000204.1	GL000204.1/chr2	.	.	.	OK	OK	SECONDARY	24
chr2	GL000221.1	GL000221.1/chr2	.	.	.	OK	OK	SECONDARY	16
chr2	GL000225.1	GL000225.1/chr2	.	.	.	OK	OK	PRIMARY	113
chr2	GL000214.1	GL000214.1/chr2	.	.	.	OK	OK	SECONDARY	35
chr2	GL000217.1	GL000217.1/chr2	.	.	.	OK	OK	PRIMARY	85
chr2	GL000216.1	GL000216.1/chr2	.	.	.	OK	OK	SECONDARY	67
chr2	GL000212.1	GL000212.1/chr2	.	.	.	OK	OK	SECONDARY	30
chr2	GL000193.1	GL000193.1/chr2	.	.	.	OK	OK	PRIMARY	51
chr2	GL000245.1	GL000245.1/chr2	.	.	.	OK	OK	PRIMARY	6
chr2	GL000219.1	GL000219.1/chr2	.	.	.	OK	OK	PRIMARY	49
chr2	GL000235.1	GL000235.1/chr2	.	.	.	OK	OK	PRIMARY	4
chr2	GL000202.1	GL000202.1/chr2	.	.	.	OK	OK	SECONDARY	41
chr2	GL000194.1	GL000194.1/chr2	.	.	.	OK	OK	SECONDARY	35
chr2	GL000203.1	GL000203.1/chr2	.	.	.	OK	OK	PRIMARY	2
chr2	GL000206.1	GL000206.1/chr2	.	.	.	OK	OK	PRIMARY	17
chr2	GL000211.1	GL000211.1/chr2	.	.	.	OK	OK	SECONDARY	18
chr2	GL000208.1	GL000208.1/chr2	.	.	.	OK	OK	SECONDARY	11
chr2	GL000198.1	GL000198.1/chr2	.	.	.	OK	OK	PRIMARY	8
chr2	GL000242.1	GL000242.1/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000223.1	GL000223.1/chr2	.	.	.	OK	OK	PRIMARY	77
chr2	GL000212.1	GL000212.1/chr2	.	.	.	OK	OK	PRIMARY	89
chr2	NC_007605	NC_007605/chr2	.	.	.	OK	OK	PRIMARY	11
chr2	GL000205.1	GL000205.1/chr2	.	.	.	OK	OK	SECONDARY	28
chr2	GL000226.1	GL000226.1/chr2	.	.	.	OK	OK	SECONDARY	48
chr2	GL000218.1	GL000218.1/chr2	.	.	.	OK	OK	SECONDARY	33
chr2	GL000241.1	GL000241.1/chr2	.	.	.	OK	OK	PRIMARY	10
chr2	GL000231.1	GL000231.1/chr2	.	.	.	OK	OK	PRIMARY	7
chr2	GL000242.1	GL000242.1/chr2	.	.	.	OK	OK	PRIMARY	5
chr2	GL000192.1	GL000192.1/chr2	.	.	.	OK	OK	SECONDARY	48
chr2	GL000247.1	GL000247.1/chr2	.	.	.	OK	OK	PRIMARY	2
chr2	GL000236.1	GL000236.1/chr2	.	.	.	OK	OK	SECONDARY	3
chr2	GL000193.1	GL000193.1/chr2	.	.	.	OK	OK	SECONDARY	27
chr2	GL000211.1	GL000211.1/chr2	.	.	.	OK	OK	PRIMARY	25
chr2	GL000244.1	GL000244.1/chr2	.	.	.	OK	OK	PRIMARY	6
chr2	GL000215.1	GL000215.1/chr2	.	.	.	OK	OK	SECONDARY	6
chr2	GL000233.1	GL000233.1/chr2	.	.	.	OK	OK	SECONDARY	2
chr2	GL000206.1	GL000206.1/chr2	.	.	.	OK	OK	SECONDARY	35
chr2	GL000227.1	GL000227.1/chr2	.	.	.	OK	OK	PRIMARY	23
chr2	chrMT	chr2/chrMT	.	.	.	OK	OK	SECONDARY	98
chr2	GL000197.1	GL000197.1/chr2	.	.	.	OK	OK	SECONDARY	10
chr2	GL000228.1	GL000228.1/chr2	.	.	.	OK	OK	PRIMARY	407
chr2	GL000228.1	GL000228.1/chr2	.	.	.	OK	OK	SECONDARY	218
chr2	GL000217.1	GL000217.1/chr2	.	.	.	OK	OK	SECONDARY	28
chr2	GL000227.1	GL000227.1/chr2	.	.	.	OK	OK	SECONDARY	10
chr2	GL000237.1	GL000237.1/chr2	.	.	.	OK	OK	PRIMARY	39
chr2	GL000236.1	GL000236.1/chr2	.	.	.	OK	OK	PRIMARY	13
chr2	GL000225.1	GL000225.1/chr2	.	.	.	OK	OK	SECONDARY	104
chr2	GL000204.1	GL000204.1/chr2	.	.	.	OK	OK	PRIMARY	98
chr2	GL000209.1	GL000209.1/chr2	.	.	.	OK	OK	PRIMARY	3
chr2	GL000199.1	GL000199.1/chr2	.	.	.	OK	OK	SECONDARY	22
chr2	GL000201.1	GL000201.1/chr2	.	.	.	OK	OK	PRIMARY	5
chr2	GL000201.1	GL000201.1/chr2	.	.	.	OK	OK	SECONDARY	7
chr2	GL000233.1	GL000233.1/chr2	.	.	.	OK	OK	PRIMARY	6
chr2	GL000208.1	GL000208.1/chr2	.	.	.	OK	OK	PRIMARY	36
chr2	GL000191.1	GL000191.1/chr2	.	.	.	OK	OK	SECONDARY	12
chr2	GL000240.1	GL000240.1/chr2	.	.	.	OK	OK	PRIMARY	4
chr2	GL000239.1	GL000239.1/chr2	.	.	.	OK	OK	PRIMARY	33
chr2	GL000244.1	GL000244.1/chr2	.	.	.	OK	OK	SECONDARY	4
chr2	GL000245.1	GL000245.1/chr2	.	.	.	OK	OK	SECONDARY	4
chr2	GL000235.1	GL000235.1/chr2	.	.	.	OK	OK	SECONDARY	3
chr2	GL000234.1	GL000234.1/chr2	.	.	.	OK	OK	SECONDARY	8
chr2	GL000222.1	GL000222.1/chr2	.	.	.	OK	OK	SECONDARY	15
chr2	GL000197.1	GL000197.1/chr2	.	.	.	OK	OK	PRIMARY	6
chr2	GL000210.1	GL000210.1/chr2	.	.	.	OK	OK	PRIMARY	11
chr2	GL000223.1	GL000223.1/chr2	.	.	.	OK	OK	SECONDARY	14
chr2	GL000207.1	GL000207.1/chr2	.	.	.	OK	OK	PRIMARY	1
chr2	GL000202.1	GL000202.1/chr2	.	.	.	OK	OK	PRIMARY	39
chr2	GL000200.1	GL000200.1/chr2	.	.	.	OK	OK	SECONDARY	16
chr2	GL000213.1	GL000213.1/chr2	.	.	.	OK	OK	PRIMARY	9
chr2	NC_007605	NC_007605/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000230.1	GL000230.1/chr2	.	.	.	OK	OK	SECONDARY	3
chr2	GL000198.1	GL000198.1/chr2	.	.	.	OK	OK	SECONDARY	2
chr2	GL000246.1	GL000246.1/chr2	.	.	.	OK	OK	PRIMARY	2
chr2	GL000209.1	GL000209.1/chr2	.	.	.	OK	OK	SECONDARY	6
chr2	GL000210.1	GL000210.1/chr2	.	.	.	OK	OK	SECONDARY	5
chr2	GL000232.1	GL000232.1/chr2	.	.	.	OK	OK	PRIMARY	10
chr2	GL000240.1	GL000240.1/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000246.1	GL000246.1/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000196.1	GL000196.1/chr2	.	.	.	OK	OK	PRIMARY	2
chr2	GL000229.1	GL000229.1/chr2	.	.	.	OK	OK	SECONDARY	9
chr2	GL000229.1	GL000229.1/chr2	.	.	.	OK	OK	PRIMARY	7
chr2	GL000248.1	GL000248.1/chr2	.	.	.	OK	OK	PRIMARY	1
chr2	GL000248.1	GL000248.1/chr2	.	.	.	OK	OK	SECONDARY	2
chr2	GL000243.1	GL000243.1/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000196.1	GL000196.1/chr2	.	.	.	OK	OK	SECONDARY	1
chr2	GL000243.1	GL000243.1/chr2	.	.	.	OK	OK	PRIMARY	3
chr2	GL000249.1	GL000249.1/chr2	.	.	.	OK	OK	PRIMARY	1
